Category: All categories

Day,bitcoin: (Worldwide)
2017-12-31,47
2018-01-01,45
2018-01-02,54
2018-01-03,54
2018-01-04,52
2018-01-05,51
2018-01-06,44
2018-01-07,45
2018-01-08,51
2018-01-09,47
2018-01-10,50
2018-01-11,57
2018-01-12,47
2018-01-13,40
2018-01-14,37
2018-01-15,37
2018-01-16,74
2018-01-17,100
2018-01-18,69
2018-01-19,50
2018-01-20,42
2018-01-21,38
2018-01-22,44
2018-01-23,43
2018-01-24,39
2018-01-25,37
2018-01-26,37
2018-01-27,32
2018-01-28,31
2018-01-29,31
2018-01-30,35
2018-01-31,38
2018-02-01,49
2018-02-02,66
2018-02-03,42
2018-02-04,37
2018-02-05,63
2018-02-06,80
2018-02-07,50
2018-02-08,43
2018-02-09,38
2018-02-10,30
2018-02-11,27
2018-02-12,31
2018-02-13,27
2018-02-14,28
2018-02-15,30
2018-02-16,28
2018-02-17,26
2018-02-18,28
2018-02-19,26
2018-02-20,27
2018-02-21,28
2018-02-22,27
2018-02-23,23
2018-02-24,20
2018-02-25,18
2018-02-26,21
2018-02-27,22
2018-02-28,21
2018-03-01,19
2018-03-02,19
2018-03-03,18
2018-03-04,17
2018-03-05,19
2018-03-06,19
2018-03-07,22
2018-03-08,22
2018-03-09,23
2018-03-10,17
2018-03-11,17
2018-03-12,19
2018-03-13,18
2018-03-14,22
2018-03-15,25
2018-03-16,20
2018-03-17,18
2018-03-18,22
2018-03-19,21
2018-03-20,20
2018-03-21,19
2018-03-22,18
2018-03-23,17
2018-03-24,15
2018-03-25,15
2018-03-26,20
2018-03-27,18
